Obs,ring,DOY,H2O,CO2,block,true_ten,true_twenty,true_thirty,true_forty,true_fifty,true_sixty,true_seventy,start_ten,start_twenty,start_thirty,start_forty,start_fifty,start_sixty,start_seventy
12,21,175,dry,ele,1,38.8021,40.7438,38.9722,40.8487,42.269,44.1466,44.3457,37.9724,42.3169,39.2747,41.2432,43.0601,44.5019,45.1581
13,17,180,con,amb,1,23.5143,36.7993,43.1625,44.2286,43.4941,44.0084,43.7559,40.5124,42.7481,42.4278,44.4045,44.3042,44.1762,43.4554
14,17,180,dry,amb,1,20.3088,30.6664,41.5209,44.0109,43.7767,44.0721,42.9335,40.5124,42.7481,42.4278,44.4045,44.3042,44.1762,43.4554
15,21,180,con,ele,1,29.6151,38.0716,38.6466,39.748,42.3088,44.5073,45.0751,37.9724,42.3169,39.2747,41.2432,43.0601,44.5019,45.1581
16,21,180,dry,ele,1,26.9973,38.239,38.456,40.4266,42.2293,44.0109,44.133,37.9724,42.3169,39.2747,41.2432,43.0601,44.5019,45.1581
17,17,182,con,amb,1,21.1397,32.6668,42.6285,43.99,43.345,43.8798,43.6498,40.5124,42.7481,42.4278,44.4045,44.3042,44.1762,43.4554
18,17,182,dry,amb,1,18.5161,26.2183,40.4728,43.786,43.8215,43.9967,42.9437,40.5124,42.7481,42.4278,44.4045,44.3042,44.1762,43.4554
19,21,182,con,ele,1,26.4235,35.6032,38.5259,39.5689,42.1775,44.3883,44.9549,37.9724,42.3169,39.2747,41.2432,43.0601,44.5019,45.1581
20,21,182,dry,ele,1,23.3853,35.1661,38.238,40.3353,42.1008,43.9104,44.0585,37.9724,42.3169,39.2747,41.2432,43.0601,44.5019,45.1581
21,17,187,con,amb,1,18.4944,23.967,33.9563,43.3828,43.7313,44.2136,44.0227,40.5124,42.7481,42.4278,44.4045,44.3042,44.1762,43.4554
22,17,187,dry,amb,1,15.9556,20.1337,32.2812,40.677,43.3544,44.0836,43.0131,40.5124,42.7481,42.4278,44.4045,44.3042,44.1762,43.4554
23,21,187,con,ele,1,22.475,28.2851,35.4955,38.9335,42.4744,44.6582,45.1386,37.9724,42.3169,39.2747,41.2432,43.0601,44.5019,45.1581
24,21,187,dry,ele,1,19.5358,27.4858,34.41,39.6266,42.4038,44.1048,44.3234,37.9724,42.3169,39.2747,41.2432,43.0601,44.5019,45.1581
25,17,190,con,amb,1,19.35,23.0633,31.5065,40.4586,43.2684,44.4578,44.1635,40.5124,42.7481,42.4278,44.4045,44.3042,44.1762,43.4554
26,17,190,dry,amb,1,15.7163,19.1814,28.579,33.8575,40.1935,44.1394,43.1382,40.5124,42.7481,42.4278,44.4045,44.3042,44.1762,43.4554
27,21,190,con,ele,1,23.17,26.8978,32.9575,37.7101,41.8276,44.6932,45.0692,37.9724,42.3169,39.2747,41.2432,43.0601,44.5019,45.1581
28,21,190,dry,ele,1,19.2966,26.1153,31.4572,37.8875,41.6198,44.2593,44.3586,37.9724,42.3169,39.2747,41.2432,43.0601,44.5019,45.1581
29,17,193,con,amb,1,18.5091,21.3082,27.6339,33.723,38.607,43.3087,43.8005,40.5124,42.7481,42.4278,44.4045,44.3042,44.1762,43.4554
30,17,193,dry,amb,1,15.2483,18.2865,25.9472,28.9654,33.4877,40.5339,42.6573,40.5124,42.7481,42.4278,44.4045,44.3042,44.1762,43.4554
31,21,193,con,ele,1,21.4403,24.1607,29.2263,33.5668,39.042,44.0969,44.6911,37.9724,42.3169,39.2747,41.2432,43.0601,44.5019,45.1581
32,21,193,dry,ele,1,18.6098,23.9043,28.4854,33.039,38.5659,44.136,44.9562,37.9724,42.3169,39.2747,41.2432,43.0601,44.5019,45.1581
33,17,195,con,amb,1,18.2977,20.7967,26.2355,30.9569,35.3815,41.3636,43.4789,40.5124,42.7481,42.4278,44.4045,44.3042,44.1762,43.4554
34,17,195,dry,amb,1,15.3294,18.1864,25.7538,27.9903,31.6452,38.2019,42.0157,40.5124,42.7481,42.4278,44.4045,44.3042,44.1762,43.4554
35,21,195,con,ele,1,20.7481,23.4473,27.6534,30.8482,35.7263,42.8545,44.5522,37.9724,42.3169,39.2747,41.2432,43.0601,44.5019,45.1581
36,21,195,dry,ele,1,18.1832,23.4612,26.8018,30.2343,34.3692,42.4533,43.8101,37.9724,42.3169,39.2747,41.2432,43.0601,44.5019,45.1581
37,17,197,con,amb,1,20.765,23.9097,32.3464,36.3974,37.2347,41.9571,43.4362,40.5124,42.7481,42.4278,44.4045,44.3042,44.1762,43.4554
38,17,197,dry,amb,1,15.311,18.2798,25.7661,27.8069,30.8799,37.1789,41.1469,40.5124,42.7481,42.4278,44.4045,44.3042,44.1762,43.4554
39,21,197,con,ele,1,25.5358,25.8174,28.4553,30.2092,33.6099,40.722,44.1112,37.9724,42.3169,39.2747,41.2432,43.0601,44.5019,45.1581
40,21,197,dry,ele,1,18.2569,23.334,26.3514,29.0429,31.8485,39.3404,43.4151,37.9724,42.3169,39.2747,41.2432,43.0601,44.5019,45.1581
41,17,200,con,amb,1,19.6377,22.8245,29.5962,33.1942,34.6727,39.9807,42.3605,40.5124,42.7481,42.4278,44.4045,44.3042,44.1762,43.4554
42,17,200,dry,amb,1,15.034,17.9546,25.069,26.8665,29.6639,35.3481,39.2348,40.5124,42.7481,42.4278,44.4045,44.3042,44.1762,43.4554
43,21,200,con,ele,1,22.1661,23.6807,26.6464,28.4782,31.6272,36.8914,42.7303,37.9724,42.3169,39.2747,41.2432,43.0601,44.5019,45.1581
44,21,200,dry,ele,1,18.1142,22.917,25.6155,27.8058,29.4465,35.2333,41.1924,37.9724,42.3169,39.2747,41.2432,43.0601,44.5019,45.1581
45,17,202,con,amb,1,31.0788,34.3587,41.4011,43.2638,42.205,43.2064,43.4374,40.5124,42.7481,42.4278,44.4045,44.3042,44.1762,43.4554
46,17,202,dry,amb,1,15.7095,18.5884,25.6196,27.4778,30.2016,35.9963,39.7215,40.5124,42.7481,42.4278,44.4045,44.3042,44.1762,43.4554
47,21,202,con,ele,1,35.2539,34.9341,35.0565,32.766,33.6316,38.2579,43.1223,37.9724,42.3169,39.2747,41.2432,43.0601,44.5019,45.1581
48,21,202,dry,ele,1,18.4884,23.0428,25.8425,27.9996,29.5638,34.8219,40.3812,37.9724,42.3169,39.2747,41.2432,43.0601,44.5019,45.1581
49,17,204,con,amb,1,30.6901,34.7543,41.3659,43.1485,41.9731,43.105,43.2216,40.5124,42.7481,42.4278,44.4045,44.3042,44.1762,43.4554
50,17,204,dry,amb,1,15.7817,18.5909,25.61,27.3879,30.3101,35.9011,39.6867,40.5124,42.7481,42.4278,44.4045,44.3042,44.1762,43.4554
51,21,204,con,ele,1,33.1184,33.2119,33.6942,32.4197,33.481,37.718,42.526,37.9724,42.3169,39.2747,41.2432,43.0601,44.5019,45.1581
52,21,204,dry,ele,1,18.7371,23.3597,25.838,28.0244,29.2115,33.9572,38.6711,37.9724,42.3169,39.2747,41.2432,43.0601,44.5019,45.1581
53,17,207,con,amb,1,29.7012,35.4952,41.4066,42.7281,41.4179,42.6898,42.8954,40.5124,42.7481,42.4278,44.4045,44.3042,44.1762,43.4554
54,17,207,dry,amb,1,16.0468,18.7979,25.7748,27.5356,30.4352,35.7793,39.4078,40.5124,42.7481,42.4278,44.4045,44.3042,44.1762,43.4554
55,21,207,con,ele,1,31.4825,31.5986,31.3082,30.5421,32.0538,36.4609,40.9439,37.9724,42.3169,39.2747,41.2432,43.0601,44.5019,45.1581
56,21,207,dry,ele,1,18.7737,23.14,25.4272,27.5904,28.4848,32.0087,35.912,37.9724,42.3169,39.2747,41.2432,43.0601,44.5019,45.1581
57,17,210,con,amb,1,27.1575,34.4708,41.3121,42.9766,41.5473,42.6382,42.8263,40.5124,42.7481,42.4278,44.4045,44.3042,44.1762,43.4554
58,17,210,dry,amb,1,16.2771,18.8732,25.9498,27.7504,30.4344,35.8785,39.1859,40.5124,42.7481,42.4278,44.4045,44.3042,44.1762,43.4554
59,21,210,con,ele,1,27.893,29.5785,30.6205,30.1197,31.6011,35.4828,39.3389,37.9724,42.3169,39.2747,41.2432,43.0601,44.5019,45.1581
60,21,210,dry,ele,1,18.7899,23.2735,25.5178,27.5045,28.2122,31.3853,34.442,37.9724,42.3169,39.2747,41.2432,43.0601,44.5019,45.1581
61,17,214,con,amb,1,22.9218,30.8659,40.0117,42.5501,41.2188,42.4773,42.7032,40.5124,42.7481,42.4278,44.4045,44.3042,44.1762,43.4554
62,17,214,dry,amb,1,15.9098,18.8427,25.547,27.3468,30.2606,35.7834,39.3389,40.5124,42.7481,42.4278,44.4045,44.3042,44.1762,43.4554
63,21,214,con,ele,1,22.589,25.2221,27.5325,28.3618,30.4106,33.3703,37.4692,37.9724,42.3169,39.2747,41.2432,43.0601,44.5019,45.1581
64,21,214,dry,ele,1,18.005,22.7504,25.2172,27.2637,28.0664,30.728,33.7919,37.9724,42.3169,39.2747,41.2432,43.0601,44.5019,45.1581
65,17,216,con,amb,1,22.1815,30.1223,39.5757,42.2726,40.895,42.3479,42.4008,40.5124,42.7481,42.4278,44.4045,44.3042,44.1762,43.4554
66,17,216,dry,amb,1,16.3234,19.0393,25.8274,27.47,30.4192,35.9431,39.5779,40.5124,42.7481,42.4278,44.4045,44.3042,44.1762,43.4554
67,21,216,con,ele,1,21.6421,23.7258,26.468,27.3677,29.3971,32.6576,36.3661,37.9724,42.3169,39.2747,41.2432,43.0601,44.5019,45.1581
68,21,216,dry,ele,1,18.3303,22.9578,25.3601,27.5842,28.2121,31.0602,33.6954,37.9724,42.3169,39.2747,41.2432,43.0601,44.5019,45.1581
69,17,218,con,amb,1,21.349,27.6348,37.381,41.5237,40.5695,41.6142,42.1821,40.5124,42.7481,42.4278,44.4045,44.3042,44.1762,43.4554
70,17,218,dry,amb,1,16.2574,18.7131,25.3861,27.3183,30.1593,35.6796,39.0166,40.5124,42.7481,42.4278,44.4045,44.3042,44.1762,43.4554
71,21,218,con,ele,1,21.1605,22.9643,25.5988,26.7188,28.7786,32.0496,35.5946,37.9724,42.3169,39.2747,41.2432,43.0601,44.5019,45.1581
72,21,218,dry,ele,1,18.326,22.6265,25.0409,27.3819,28.0581,30.3725,33.4793,37.9724,42.3169,39.2747,41.2432,43.0601,44.5019,45.1581
73,17,221,con,amb,1,20.6985,26.2482,36.1831,40.3898,39.1473,41.492,41.9532,40.5124,42.7481,42.4278,44.4045,44.3042,44.1762,43.4554
74,17,221,dry,amb,1,16.2984,18.7339,25.5218,27.3112,30.1689,35.9479,39.2457,40.5124,42.7481,42.4278,44.4045,44.3042,44.1762,43.4554
75,21,221,con,ele,1,20.1736,21.9314,24.7556,25.9296,27.9139,30.509,34.1482,37.9724,42.3169,39.2747,41.2432,43.0601,44.5019,45.1581
76,21,221,dry,ele,1,17.9591,22.5246,25.0697,27.3987,27.9406,30.6732,33.2855,37.9724,42.3169,39.2747,41.2432,43.0601,44.5019,45.1581
77,17,223,con,amb,1,21.0479,26.0053,35.4757,39.784,39.0932,41.1473,41.8307,40.5124,42.7481,42.4278,44.4045,44.3042,44.1762,43.4554
78,17,223,dry,amb,1,16.5078,19.1408,25.7014,27.371,30.1931,35.8039,39.423,40.5124,42.7481,42.4278,44.4045,44.3042,44.1762,43.4554
79,21,223,con,ele,1,19.8971,21.3601,24.3649,25.7585,27.554,29.9734,33.4854,37.9724,42.3169,39.2747,41.2432,43.0601,44.5019,45.1581
80,21,223,dry,ele,1,18.2013,22.8162,25.2147,27.5595,28.2217,30.8409,33.3414,37.9724,42.3169,39.2747,41.2432,43.0601,44.5019,45.1581
81,17,228,con,amb,1,22.4815,27.5945,36.3156,39.2374,38.4424,40.9675,41.4719,40.5124,42.7481,42.4278,44.4045,44.3042,44.1762,43.4554
82,17,228,dry,amb,1,16.6118,19.46,25.8234,27.8096,30.9895,36.4977,39.5643,40.5124,42.7481,42.4278,44.4045,44.3042,44.1762,43.4554
83,21,228,con,ele,1,21.2042,21.7327,24.1396,25.3025,27.1662,29.5313,32.8685,37.9724,42.3169,39.2747,41.2432,43.0601,44.5019,45.1581
84,21,228,dry,ele,1,18.2111,22.6283,24.9096,26.9874,28.4132,30.6581,32.334,37.9724,42.3169,39.2747,41.2432,43.0601,44.5019,45.1581
85,17,230,con,amb,1,20.8828,26.0016,34.7362,38.7981,38.1723,40.6404,41.1803,40.5124,42.7481,42.4278,44.4045,44.3042,44.1762,43.4554
86,17,230,dry,amb,1,16.1994,19.1033,25.9171,27.8183,30.7816,36.3575,39.4492,40.5124,42.7481,42.4278,44.4045,44.3042,44.1762,43.4554
87,21,230,con,ele,1,19.8866,21.0942,23.6236,24.7746,26.5111,28.6479,32.1494,37.9724,42.3169,39.2747,41.2432,43.0601,44.5019,45.1581
88,21,230,dry,ele,1,17.7376,22.4986,24.9413,27.2973,27.9486,30.5956,32.9292,37.9724,42.3169,39.2747,41.2432,43.0601,44.5019,45.1581
89,17,232,con,amb,1,20.6689,25.9883,34.289,37.9232,37.357,40.6463,41.298,40.5124,42.7481,42.4278,44.4045,44.3042,44.1762,43.4554
90,17,232,dry,amb,1,15.7526,19.4473,25.9911,27.7451,30.8249,36.3542,39.3865,40.5124,42.7481,42.4278,44.4045,44.3042,44.1762,43.4554
91,21,232,con,ele,1,19.9656,20.9786,23.775,24.9382,26.5608,29.0593,32.4148,37.9724,42.3169,39.2747,41.2432,43.0601,44.5019,45.1581
92,21,232,dry,ele,1,18.1622,22.7312,25.0147,27.3552,27.9902,30.512,32.906,37.9724,42.3169,39.2747,41.2432,43.0601,44.5019,45.1581
93,17,234,con,amb,1,27.902,32.5121,40.7973,42.8787,41.4015,41.9442,41.8429,40.5124,42.7481,42.4278,44.4045,44.3042,44.1762,43.4554
94,17,234,dry,amb,1,16.1541,19.2587,26.2273,28.2977,31.1493,36.1625,39.3615,40.5124,42.7481,42.4278,44.4045,44.3042,44.1762,43.4554
95,21,234,con,ele,1,27.308,27.0258,28.4458,26.9188,27.7533,29.18,32.2209,37.9724,42.3169,39.2747,41.2432,43.0601,44.5019,45.1581
96,21,234,dry,ele,1,17.3552,22.1707,25.0592,27.37,27.9635,30.3195,32.7076,37.9724,42.3169,39.2747,41.2432,43.0601,44.5019,45.1581
97,17,236,con,amb,1,24.3737,31.4581,40.5836,42.5125,41.1548,41.7722,41.3049,40.5124,42.7481,42.4278,44.4045,44.3042,44.1762,43.4554
98,17,236,dry,amb,1,16.2457,19.4713,26.4796,28.1304,31.2211,36.3485,38.9688,40.5124,42.7481,42.4278,44.4045,44.3042,44.1762,43.4554
99,21,236,con,ele,1,24.2,25.1759,27.3436,26.7194,27.787,29.5985,32.5282,37.9724,42.3169,39.2747,41.2432,43.0601,44.5019,45.1581
100,21,236,dry,ele,1,17.8156,22.3556,25.1451,27.5337,28.2714,30.5974,32.8223,37.9724,42.3169,39.2747,41.2432,43.0601,44.5019,45.1581
101,17,238,con,amb,1,22.4461,29.6704,39.766,42.1701,40.743,41.4763,41.0139,40.5124,42.7481,42.4278,44.4045,44.3042,44.1762,43.4554
102,17,238,dry,amb,1,16.1876,19.0366,26.233,27.7643,30.8656,35.8212,38.716,40.5124,42.7481,42.4278,44.4045,44.3042,44.1762,43.4554
103,21,238,con,ele,1,22.5008,24.1609,26.5031,26.296,27.1844,29.2261,32.0631,37.9724,42.3169,39.2747,41.2432,43.0601,44.5019,45.1581
104,21,238,dry,ele,1,18.305,22.4503,24.9588,27.1542,28.4298,30.6294,32.9104,37.9724,42.3169,39.2747,41.2432,43.0601,44.5019,45.1581
105,17,242,con,amb,1,20.0355,26.2564,36.8702,41.191,40.01,40.8144,40.5847,40.5124,42.7481,42.4278,44.4045,44.3042,44.1762,43.4554
106,17,242,dry,amb,1,15.8046,18.969,26.152,27.6061,30.4175,35.1801,37.5492,40.5124,42.7481,42.4278,44.4045,44.3042,44.1762,43.4554
107,21,242,con,ele,1,20.235,22.2663,24.9586,25.4362,26.501,28.2996,31.5906,37.9724,42.3169,39.2747,41.2432,43.0601,44.5019,45.1581
108,21,242,dry,ele,1,15.8449,21.5557,24.364,26.5805,27.3194,29.6276,31.5775,37.9724,42.3169,39.2747,41.2432,43.0601,44.5019,45.1581
109,17,246,con,amb,1,31.6462,35.594,41.9926,43.4709,42.5691,42.62,41.8944,40.5124,42.7481,42.4278,44.4045,44.3042,44.1762,43.4554
110,17,246,dry,amb,1,16.0731,19.072,26.3775,28.0228,30.2745,34.9965,37.1213,40.5124,42.7481,42.4278,44.4045,44.3042,44.1762,43.4554
111,21,246,con,ele,1,31.6215,31.8638,33.0204,30.9311,30.2564,30.6696,33.1452,37.9724,42.3169,39.2747,41.2432,43.0601,44.5019,45.1581
112,21,246,dry,ele,1,16.9315,21.6278,24.5991,27.2222,27.8091,29.71,31.8427,37.9724,42.3169,39.2747,41.2432,43.0601,44.5019,45.1581
113,17,251,con,amb,1,25.38,34.4052,41.1954,42.9877,42.0548,42.034,41.1402,40.5124,42.7481,42.4278,44.4045,44.3042,44.1762,43.4554
114,17,251,dry,amb,1,16.0846,19.0073,26.4169,27.7289,30.6774,34.9562,37.303,40.5124,42.7481,42.4278,44.4045,44.3042,44.1762,43.4554
115,21,251,con,ele,1,26.0074,28.3875,31.6655,31.1273,30.4746,31.1232,32.5296,37.9724,42.3169,39.2747,41.2432,43.0601,44.5019,45.1581
116,21,251,dry,ele,1,17.485,21.9666,24.7278,27.1159,27.8048,30.0164,31.9735,37.9724,42.3169,39.2747,41.2432,43.0601,44.5019,45.1581
117,17,253,con,amb,1,23.7436,33.2276,41.0956,43.0882,42.1066,42.0754,41.1236,40.5124,42.7481,42.4278,44.4045,44.3042,44.1762,43.4554
118,17,253,dry,amb,1,15.6389,18.806,25.982,27.5617,29.757,34.4614,36.4397,40.5124,42.7481,42.4278,44.4045,44.3042,44.1762,43.4554
119,21,253,con,ele,1,24.2097,28.0164,31.279,30.6405,30.4589,30.573,32.8343,37.9724,42.3169,39.2747,41.2432,43.0601,44.5019,45.1581
120,21,253,dry,ele,1,16.9436,21.5352,24.4434,26.8827,27.6609,29.8176,31.8259,37.9724,42.3169,39.2747,41.2432,43.0601,44.5019,45.1581
121,24,167,con,amb,2,41.8378,45.4561,43.4138,44.894,45.5411,44.9442,44.7984,41.8378,45.4561,43.4138,44.894,45.5411,44.9442,44.7984
122,24,167,dry,amb,2,42.579,45.2205,43.2662,44.1285,44.3827,44.8424,44.2739,42.579,45.2205,43.2662,44.1285,44.3827,44.8424,44.2739
123,20,167,con,ele,2,39.0905,41.5358,42.0701,43.3246,43.7075,44.2964,44.4011,39.0905,41.5358,42.0701,43.3246,43.7075,44.2964,44.4011
124,20,167,dry,ele,2,42.1671,43.8746,42.4693,43.7606,42.8638,44.2231,44.5977,42.1671,43.8746,42.4693,43.7606,42.8638,44.2231,44.5977
125,24,169,con,amb,2,33.5733,43.4653,43.3219,44.9844,45.7419,45.0985,44.832,42.579,45.2205,43.2662,44.1285,44.3827,44.8424,44.2739
126,24,169,dry,amb,2,35.7808,44.9941,43.383,44.236,44.5537,45.0179,44.4595,42.579,45.2205,43.2662,44.1285,44.3827,44.8424,44.2739
127,20,169,con,ele,2,33.4592,40.2547,42.1996,44.0791,44.4878,45.1004,45.1927,42.1671,43.8746,42.4693,43.7606,42.8638,44.2231,44.5977
128,20,169,dry,ele,2,34.9008,43.4225,42.2899,43.4843,42.9377,43.9942,44.5869,42.1671,43.8746,42.4693,43.7606,42.8638,44.2231,44.5977
129,24,175,con,amb,2,36.9859,43.846,43.4208,44.818,45.6319,44.9897,44.7992,42.579,45.2205,43.2662,44.1285,44.3827,44.8424,44.2739
130,24,175,dry,amb,2,39.5354,44.9948,43.2665,44.3835,44.3112,44.9416,44.4388,42.579,45.2205,43.2662,44.1285,44.3827,44.8424,44.2739
131,20,175,con,ele,2,38.6459,41.4629,42.308,43.8,44.4539,45.0538,45.1902,42.1671,43.8746,42.4693,43.7606,42.8638,44.2231,44.5977
132,20,175,dry,ele,2,41.1322,43.4953,42.0501,43.4623,42.694,43.952,44.5788,42.1671,43.8746,42.4693,43.7606,42.8638,44.2231,44.5977
133,24,180,con,amb,2,17.6409,33.2903,43.1082,44.9836,45.7427,45.174,44.735,42.579,45.2205,43.2662,44.1285,44.3827,44.8424,44.2739
134,24,180,dry,amb,2,18.8507,36.1887,43.1429,44.2937,44.4037,45.0928,44.5464,42.579,45.2205,43.2662,44.1285,44.3827,44.8424,44.2739
135,20,180,con,ele,2,22.4245,33.0391,42.1519,43.8657,44.6282,45.2867,45.3565,42.1671,43.8746,42.4693,43.7606,42.8638,44.2231,44.5977
136,20,180,dry,ele,2,24.4062,38.1629,42.0372,43.4706,42.79,43.8528,44.5109,42.1671,43.8746,42.4693,43.7606,42.8638,44.2231,44.5977
137,24,182,con,amb,2,15.743,28.561,42.6541,44.8286,45.6071,45.0392,44.8308,42.579,45.2205,43.2662,44.1285,44.3827,44.8424,44.2739
138,24,182,dry,amb,2,17.6575,33.9184,43.1381,44.1501,44.4664,45.0928,44.404,42.579,45.2205,43.2662,44.1285,44.3827,44.8424,44.2739
139,20,182,con,ele,2,20.4153,29.5317,41.6778,43.67,44.4104,45.0991,45.1696,42.1671,43.8746,42.4693,43.7606,42.8638,44.2231,44.5977
140,20,182,dry,ele,2,21.1645,34.105,41.6186,43.4267,42.8221,43.8309,44.4676,42.1671,43.8746,42.4693,43.7606,42.8638,44.2231,44.5977
141,24,187,con,amb,2,13.9049,20.9648,33.9007,44.2713,46.0864,45.5058,45.2466,42.579,45.2205,43.2662,44.1285,44.3827,44.8424,44.2739
142,24,187,dry,amb,2,15.7445,26.369,38.112,44.2738,44.8421,45.4785,44.7852,42.579,45.2205,43.2662,44.1285,44.3827,44.8424,44.2739
143,20,187,con,ele,2,17.0632,22.0655,35.4868,43.1904,44.8224,45.2655,45.203,42.1671,43.8746,42.4693,43.7606,42.8638,44.2231,44.5977
144,20,187,dry,ele,2,17.3438,23.4929,35.7688,43.3037,42.8823,43.9924,44.6429,42.1671,43.8746,42.4693,43.7606,42.8638,44.2231,44.5977
145,24,190,con,amb,2,13.9002,19.5291,29.4677,36.9776,45.6093,45.6384,45.2229,42.579,45.2205,43.2662,44.1285,44.3827,44.8424,44.2739
146,24,190,dry,amb,2,15.1944,24.2128,33.2547,41.4378,44.3516,45.4033,44.6422,42.579,45.2205,43.2662,44.1285,44.3827,44.8424,44.2739
147,20,190,con,ele,2,16.8816,20.2769,30.0942,38.2934,44.4484,45.5437,45.4429,42.1671,43.8746,42.4693,43.7606,42.8638,44.2231,44.5977
148,20,190,dry,ele,2,16.9628,21.6667,30.3621,40.0779,42.9007,44.4006,44.9121,42.1671,43.8746,42.4693,43.7606,42.8638,44.2231,44.5977
149,24,193,con,amb,2,13.7913,19.1265,27.5534,30.7824,38.7699,44.895,44.7057,42.579,45.2205,43.2662,44.1285,44.3827,44.8424,44.2739
150,24,193,dry,amb,2,14.7762,22.3879,29.333,34.6303,42.4022,45.149,44.4014,42.579,45.2205,43.2662,44.1285,44.3827,44.8424,44.2739
151,20,193,con,ele,2,16.1726,19.0642,26.2797,32.0422,40.5543,44.8061,44.7787,42.1671,43.8746,42.4693,43.7606,42.8638,44.2231,44.5977
152,20,193,dry,ele,2,16.3767,20.1741,27.2411,33.5716,39.9246,43.6562,44.3069,42.1671,43.8746,42.4693,43.7606,42.8638,44.2231,44.5977
153,24,195,con,amb,2,13.6294,18.7879,27.239,28.8134,33.6001,42.7288,44.759,42.579,45.2205,43.2662,44.1285,44.3827,44.8424,44.2739
154,24,195,dry,amb,2,14.6373,21.4662,27.7081,30.9657,38.2376,44.9394,44.4221,42.579,45.2205,43.2662,44.1285,44.3827,44.8424,44.2739
155,20,195,con,ele,2,16.0862,18.6602,24.9544,29.1386,35.9743,44.0997,44.9161,42.1671,43.8746,42.4693,43.7606,42.8638,44.2231,44.5977
156,20,195,dry,ele,2,16.0303,19.8717,26.1372,30.6143,35.593,42.8174,44.3098,42.1671,43.8746,42.4693,43.7606,42.8638,44.2231,44.5977
157,24,197,con,amb,2,18.4272,23.149,33.4943,32.3219,33.7168,41.3528,44.4772,42.579,45.2205,43.2662,44.1285,44.3827,44.8424,44.2739
158,24,197,dry,amb,2,14.6058,21.4166,29.0676,35.2505,40.8733,44.6298,44.4003,42.579,45.2205,43.2662,44.1285,44.3827,44.8424,44.2739
159,20,197,con,ele,2,21.5089,21.5589,28.5724,31.185,35.3144,43.1112,44.5488,42.1671,43.8746,42.4693,43.7606,42.8638,44.2231,44.5977
160,20,197,dry,ele,2,15.741,19.3669,25.4542,29.0598,32.7196,40.3989,43.9345,42.1671,43.8746,42.4693,43.7606,42.8638,44.2231,44.5977
161,24,200,con,amb,2,16.7568,22.0831,31.1528,30.9405,31.7198,37.7263,43.8597,42.579,45.2205,43.2662,44.1285,44.3827,44.8424,44.2739
162,24,200,dry,amb,2,14.4437,20.4884,27.4121,31.7867,36.5313,42.5247,44.0395,42.579,45.2205,43.2662,44.1285,44.3827,44.8424,44.2739
163,20,200,con,ele,2,18.5643,20.0065,25.9327,28.7668,32.7253,40.0503,43.8254,42.1671,43.8746,42.4693,43.7606,42.8638,44.2231,44.5977
164,20,200,dry,ele,2,15.5287,19.2634,24.6444,27.6988,29.9426,35.6984,42.4288,42.1671,43.8746,42.4693,43.7606,42.8638,44.2231,44.5977
165,24,202,con,amb,2,27.578,33.5451,41.1853,42.0844,42.9051,44.2014,44.5277,42.579,45.2205,43.2662,44.1285,44.3827,44.8424,44.2739
166,24,202,dry,amb,2,14.3958,22.0407,32.0087,38.4064,40.6088,43.5108,44.2878,42.579,45.2205,43.2662,44.1285,44.3827,44.8424,44.2739
167,20,202,con,ele,2,32.1505,31.6929,38.0284,38.7476,39.4492,43.3638,44.2766,42.1671,43.8746,42.4693,43.7606,42.8638,44.2231,44.5977
