"Obs","block","Doy","CO2","h2o","ring","cica","Photo","Cond","Ci"
"35",2,210,585,"con",3,0.78547,38.2504,0.61709,454.205
"36",2,210,585,"dry",3,0.71036,35.1990,0.41857,411.982
"37",2,224,385,"con",4,0.73324,23.8481,0.46250,283.163
"38",2,224,385,"dry",4,0.72471,22.6487,0.44215,280.440
"39",2,224,585,"con",3,0.70665,31.7269,0.35239,411.417
"40",2,224,585,"dry",3,0.70374,27.2630,0.34850,411.229
"41",2,238,385,"con",4,0.78020,25.1908,0.57684,300.924
"42",2,238,385,"dry",4,0.75598,23.6638,0.52290,292.003
"43",2,238,585,"con",3,0.76608,27.7602,0.42301,447.647
"44",2,238,585,"dry",3,0.70723,25.3739,0.34722,414.146
"45",2,252,385,"con",4,0.80225,19.7781,0.50879,311.611
"46",2,252,385,"dry",4,0.80361,16.4368,0.43273,313.537
"47",2,252,585,"con",3,0.78925,22.5623,0.39084,463.702
"48",2,252,585,"dry",3,0.74455,19.5467,0.31249,438.752
"49",3,183,385,"con",10,0.75343,19.2121,0.38553,293.084
"50",3,183,385,"dry",10,0.73422,18.5404,0.34752,285.854
"51",3,183,585,"con",14,0.68062,22.0787,0.21554,400.357
"52",3,183,585,"dry",14,0.68222,21.4127,0.20613,401.584
"53",3,197,385,"con",10,0.81778,29.1208,0.81755,313.369
"54",3,197,385,"dry",10,0.80710,29.2081,0.77167,309.417
"55",3,197,585,"con",14,0.73279,31.5715,0.44202,426.436
"56",3,197,585,"dry",14,0.70442,28.8033,0.35744,411.072
"57",3,210,385,"con",10,0.81172,34.3243,0.84843,308.851
"58",3,210,385,"dry",10,0.81823,30.6093,0.79650,313.442
"59",3,210,585,"con",14,0.78974,35.8924,0.58174,458.271
"60",3,210,585,"dry",14,0.76405,33.1257,0.52347,444.268
"61",3,224,385,"con",10,0.77552,27.7798,0.61000,297.074
"62",3,224,385,"dry",10,0.80401,26.5270,0.69119,308.928
"63",3,224,585,"con",14,0.69793,28.9014,0.37469,406.421
"64",3,224,585,"dry",14,0.69762,29.9482,0.37128,406.300
"65",3,238,385,"con",10,0.79935,27.2760,0.66107,307.274
"66",3,238,385,"dry",10,0.81334,25.6135,0.65731,313.379
"67",3,238,585,"con",14,0.75263,28.1294,0.39077,439.725
"68",3,238,585,"dry",14,0.72838,24.3722,0.36778,426.773
"69",3,252,385,"con",10,0.81136,23.9508,0.64586,313.711
"70",3,252,385,"dry",10,0.81727,20.3006,0.54559,317.610
"71",3,252,585,"con",14,0.75203,20.8577,0.27975,442.473
"72",3,252,585,"dry",14,0.78198,20.5898,0.36347,459.930
"73",4,183,385,"con",11,0.76283,17.1792,0.31371,298.462
"74",4,183,385,"dry",11,0.72239,16.6786,0.30035,282.759
"75",4,183,585,"con",15,0.67558,24.0916,0.24041,396.199
"76",4,183,585,"dry",15,0.65423,19.3903,0.18307,385.658
"77",4,197,385,"con",11,0.78064,29.6114,0.68370,299.067
"78",4,197,385,"dry",11,0.79599,30.4283,0.74638,304.623
"79",4,197,585,"con",15,0.77816,31.9129,0.49407,452.270
"80",4,197,585,"dry",15,0.68791,30.9530,0.34854,400.383
"81",4,210,385,"con",11,0.80712,31.6377,0.79123,308.416
"82",4,210,385,"dry",11,0.76169,29.3794,0.65356,292.134
"83",4,210,585,"con",15,0.77051,32.3367,0.49833,447.861
"84",4,210,585,"dry",15,0.68958,28.9372,0.34556,402.532
"85",4,224,385,"con",11,0.73969,26.9308,0.52090,284.824
"86",4,224,385,"dry",11,0.74357,26.7061,0.53502,286.363
"87",4,224,585,"con",15,0.71181,29.3116,0.37606,415.900
"88",4,224,585,"dry",15,0.59216,22.2639,0.18841,348.463
"89",4,238,385,"con",11,0.78449,23.2705,0.55932,303.697
"90",4,238,385,"dry",11,0.77567,23.5614,0.52668,299.605
"91",4,238,585,"con",15,0.74269,23.7855,0.33190,435.452
"92",4,238,585,"dry",15,0.68855,22.9879,0.30924,404.262
"93",4,252,385,"con",11,0.80002,20.7975,0.56261,310.243
"94",4,252,385,"dry",11,0.78149,17.8765,0.46954,304.592
"95",4,252,585,"con",15,0.76794,17.7815,0.36556,452.590
"96",4,252,585,"dry",15,0.70410,10.4204,0.15130,418.147

