year,DOY,block,CO2,Ring,Cond
2009,238,4,385,11,0.53418
2009,238,4,585,15,0.23224
2009,252,1,385,1,0.52605
2009,252,1,585,5,0.28079
2009,252,2,385,4,0.53204
2009,252,2,585,3,0.31964
2009,252,3,385,10,0.82117
2009,252,3,585,14,0.18665
2009,252,4,385,11,0.54844
2009,252,4,585,15,0.18572
2010,181,5,385,17,0.25725
2010,181,5,585,21,0.15338
2010,181,6,385,24,0.17014
2010,181,6,585,20,0.18166
2010,181,7,385,25,0.32504
2010,181,7,585,29,0.13135
2010,181,8,385,32,0.38781
2010,181,8,585,28,0.11837
2010,197,5,385,17,1.06552
2010,197,5,585,21,0.80255
2010,197,6,385,24,0.77133
2010,197,6,585,20,0.51155
2010,197,7,385,25,0.67726
2010,197,7,585,29,0.398
2010,197,8,385,32,0.65285
2010,197,8,585,28,0.54404
2010,208,5,385,17,0.97184
2010,208,5,585,21,0.81228
2010,208,6,385,24,0.98944
2010,208,6,585,20,0.70153
2010,208,7,385,25,0.92418
2010,208,7,585,29,0.74556
2010,208,8,385,32,0.742
2010,208,8,585,28,0.46284
2010,224,5,385,17,0.9383
2010,224,5,585,21,0.69548
2010,224,6,385,24,0.84834
2010,224,6,585,20,0.70808
2010,224,7,385,25,0.86562
2010,224,7,585,29,0.54084
2010,224,8,385,32,0.5479
2010,224,8,585,28,0.69477
2010,237,5,385,17,0.28915
2010,237,5,585,21,0.19182
2010,237,6,385,24,0.31788
2010,237,6,585,20,0.20925
2010,237,7,385,25,0.43996
2010,237,7,585,29,0.18055
2010,237,8,385,32,0.27886
2010,237,8,585,28,0.11399
2011,186,1,385,1,0.58824
2011,186,1,585,5,0.44484
2011,186,2,385,4,0.55757
2011,186,2,585,3,0.42929
2011,186,3,385,10,0.54728
2011,186,3,585,14,0.70881
2011,186,4,385,11,0.61999
2011,186,4,585,15,0.4273
2011,200,1,385,1,0.87166
2011,200,1,585,5,0.64587
2011,200,3,385,10,0.78427
2011,200,3,585,14,0.46462
2011,200,4,385,11,0.57288
2011,200,4,585,15,0.52575
2011,214,1,385,1,0.20313
2011,214,2,385,4,.
2011,214,2,585,3,.
2011,214,3,385,10,0.61437
2011,214,3,585,14,0.23676
2011,214,4,385,11,0.70161
2011,214,4,585,15,0.20146
2011,228,1,385,1,0.26454
2011,228,1,585,5,0.16689
2011,228,2,385,4,0.72183
2011,228,2,585,3,0.3245
2011,228,3,385,10,0.39931
2011,228,3,585,14,0.19741
2011,228,4,385,11,0.19252
2011,228,4,585,15,0.15164
2011,242,1,385,1,0.23664
2011,242,1,585,5,0.14189
2011,242,2,385,4,0.40253
2011,242,2,585,3,0.16288
2011,242,3,385,10,0.4497
2011,242,3,585,14,0.16018
2011,242,4,385,11,0.3591
2011,242,4,585,15,0.18
2011,251,1,385,1,0.07745
2011,251,2,385,4,0.13644
2011,251,2,585,3,0.19904
2011,251,3,385,10,0.19996
2011,251,3,585,14,0.08685
2011,251,4,385,11,0.4071
2011,251,4,585,15,0.13655
