Obs,block,ring,CO2,h2o,DOY,year,xylem_ABA,CO2_num,Ci,CO2xyl,pH,logABA_corr,VWCthru75,CO2_VWC75,logxyl
144,4,32,AC,dry,197,2010,0.16472,0,261.745,0,5.8715,3.56128,29.7961,0,-0.78324
145,1,17,AC,con,208,2010,0.10303,0,313.734,0,6.01033,3.30897,39.4763,0,-0.98704
146,1,17,AC,dry,208,2010,0.05787,0,306.802,0,5.786,3.40839,27.6825,0,-1.23758
151,2,24,AC,con,208,2010,0.09562,0,314.895,0,5.519,3.22326,38.3994,0,-1.01943
152,2,24,AC,dry,208,2010,0.16205,0,332,0,5.82733,.,31.1375,0,-0.79036
153,3,25,AC,con,208,2010,0.12605,0,317.147,0,5.8345,3.224,36.9776,0,-0.89944
154,3,25,AC,dry,208,2010,0.09498,0,322.003,0,5.719,3.39757,29.6538,0,-1.02239
159,4,32,AC,con,208,2010,0.09476,0,325.263,0,5.776,3.41742,39.2068,0,-1.02339
160,4,32,AC,dry,208,2010,0.18046,0,317.686,0,5.944,3.43446,29.5741,0,-0.74361
161,1,17,AC,con,224,2010,.,0,303.519,.,.,3.33261,34.912,0,.
162,1,17,AC,dry,224,2010,.,0,304.529,.,.,3.3819,27.7344,0,.
167,2,24,AC,con,224,2010,0.25899,0,284.949,0,6.07,3.48258,27.8582,0,-0.58672
168,2,24,AC,dry,224,2010,0.19608,0,289.177,0,6.06733,3.60782,24.8034,0,-0.70756
169,3,25,AC,con,224,2010,.,0,294.974,.,.,3.38661,30.8398,0,.
170,3,25,AC,dry,224,2010,.,0,296.223,.,.,3.41054,28.4945,0,.
175,4,32,AC,con,224,2010,0.21713,0,292.275,0,5.9515,3.45537,30.1157,0,-0.66327
176,4,32,AC,dry,224,2010,0.27978,0,246.366,0,5.697,3.37795,27.7839,0,-0.55319
177,1,17,AC,con,237,2010,0.07503,0,232.816,0,5.68733,3.36749,37.5943,0,-1.12474
178,1,17,AC,dry,237,2010,0.06592,0,227.542,0,5.79133,3.22991,28.1237,0,-1.18096
183,2,24,AC,con,237,2010,0.21087,0,255.23,0,5.95933,3.3058,29.6706,0,-0.67599
184,2,24,AC,dry,237,2010,.,0,230.411,.,6.016,3.55186,23.9816,0,.
185,3,25,AC,con,237,2010,.,0,253.876,.,5.925,3.39761,33.584,0,.
186,3,25,AC,dry,237,2010,0.16658,0,263.272,0,5.666,3.53258,28.2542,0,-0.77838
191,4,32,AC,con,237,2010,0.17141,0,229.653,0,5.85833,3.38019,32.1417,0,-0.76596
192,4,32,AC,dry,237,2010,0.20097,0,.,0,5.7585,3.59021,26.8684,0,-0.69687
193,1,17,AC,con,253,2010,.,0,.,.,.,.,38.0658,0,.
194,1,17,AC,dry,253,2010,.,0,.,.,.,.,26.9495,0,.
199,2,24,AC,con,253,2010,.,0,.,.,.,.,32.4818,0,.
200,2,24,AC,dry,253,2010,.,0,.,.,.,.,23.0248,0,.
201,3,25,AC,con,253,2010,.,0,.,.,.,.,36.4636,0,.
202,3,25,AC,dry,253,2010,.,0,.,.,.,.,27.2524,0,.
207,4,32,AC,con,253,2010,.,0,.,.,.,.,34.4949,0,.
208,4,32,AC,dry,253,2010,.,0,.,.,.,.,26.2338,0,.
209,1,1,AC,con,186,2011,.,0,.,.,.,.,.,.,.
211,2,4,AC,con,186,2011,.,0,.,.,.,.,.,.,.
213,3,10,AC,con,186,2011,.,0,.,.,.,.,.,.,.
214,4,11,AC,con,186,2011,.,0,.,.,.,.,.,.,.
217,1,1,AC,con,200,2011,0.1835,0,302.773,0,5.99267,3.55918,30.7697,0,-0.73636
218,1,1,AC,dry,200,2011,0.16262,0,305.061,0,5.52567,3.45783,30.589,0,-0.78883
221,2,4,AC,con,200,2011,0.17895,0,.,0,6.09233,3.44185,31.4506,0,-0.74727
222,2,4,AC,dry,200,2011,0.15786,0,.,0,5.96167,3.61492,32.2434,0,-0.80173
225,3,10,AC,con,200,2011,0.19974,0,284.444,0,5.82233,3.40804,33.1161,0,-0.69953
226,3,10,AC,dry,200,2011,0.0972,0,281.418,0,5.531,3.6888,32.4974,0,-1.01233
227,4,11,AC,con,200,2011,0.18048,0,267.891,0,5.707,3.5816,34.3394,0,-0.74358
228,4,11,AC,dry,200,2011,0.22596,0,275.176,0,5.893,3.61601,34.1893,0,-0.64596
233,1,1,AC,con,214,2011,0.20654,0,201.763,0,5.901,3.69916,26.1713,0,-0.68499
234,1,1,AC,dry,214,2011,0.37003,0,236.613,0,6.149,3.82022,25.0833,0,-0.43176
237,2,4,AC,con,214,2011,0.1786,0,.,0,6.27233,3.29357,27.161,0,-0.74811
238,2,4,AC,dry,214,2011,.,0,.,.,6.0925,3.77412,24.4149,0,.
241,3,10,AC,con,214,2011,0.26384,0,294.564,0,6.27867,3.65867,29.1698,0,-0.57866
242,3,10,AC,dry,214,2011,0.4057,0,301.661,0,5.962,3.51371,27.1047,0,-0.39179
243,4,11,AC,con,214,2011,0.27252,0,289.05,0,6.196,3.51781,30.911,0,-0.56459
244,4,11,AC,dry,214,2011,0.24518,0,283.93,0,5.751,3.66196,30.298,0,-0.61051
249,1,1,AC,con,228,2011,0.20547,0,232.308,0,5.91133,3.58183,26.4909,0,-0.68725
250,1,1,AC,dry,228,2011,0.2856,0,183.595,0,5.84867,3.67831,25.0473,0,-0.54425
253,2,4,AC,con,228,2011,0.1606,0,332.919,0,6.11133,3.41404,26.9716,0,-0.79425
254,2,4,AC,dry,228,2011,0.2295,0,302.406,0,5.969,3.73916,23.9385,0,-0.63921
257,3,10,AC,con,228,2011,0.2271,0,266.517,0,6.16433,3.19846,28.7642,0,-0.64378
258,3,10,AC,dry,228,2011,0.12667,0,281.094,0,6.01167,3.53585,25.9557,0,-0.89734
259,4,11,AC,con,228,2011,0.22263,0,202.945,0,5.911,3.49645,29.8884,0,-0.65241
260,4,11,AC,dry,228,2011,0.18621,0,242.489,0,5.76167,3.61218,29.5117,0,-0.72999
265,1,1,AC,con,242,2011,0.28249,0,214.065,0,5.833,3.51105,27.969,0,-0.54899
266,1,1,AC,dry,242,2011,.,0,221.061,.,5.741,3.51808,24.7101,0,.
269,2,4,AC,con,242,2011,0.15563,0,268.968,0,6.1115,3.23921,29.2186,0,-0.80791
270,2,4,AC,dry,242,2011,0.38637,0,202.377,0,5.8195,3.74314,25.3177,0,-0.41299
273,3,10,AC,con,242,2011,0.33123,0,280.144,0,6.25,3.76293,28.612,0,-0.47988
274,3,10,AC,dry,242,2011,0.34163,0,186.275,0,6.17867,.,26.9224,0,-0.46645
275,4,11,AC,con,242,2011,0.37101,0,259.19,0,6.00033,3.84205,30.7113,0,-0.43062
276,4,11,AC,dry,242,2011,0.3526,0,194.206,0,6.00933,3.48635,29.3091,0,-0.45271
281,1,1,AC,con,266,2011,.,0,.,.,.,.,28.0194,0,.
282,1,1,AC,dry,266,2011,.,0,.,.,.,.,24.2395,0,.
285,2,4,AC,con,266,2011,.,0,.,.,.,.,30.7127,0,.
286,2,4,AC,dry,266,2011,.,0,.,.,.,.,24.9643,0,.
289,3,10,AC,con,266,2011,.,0,.,.,.,.,27.7717,0,.
290,3,10,AC,dry,266,2011,.,0,.,.,.,.,25.5831,0,.
291,4,11,AC,con,266,2011,.,0,.,.,.,.,31.1521,0,.
292,4,11,AC,dry,266,2011,.,0,.,.,.,.,28.1391,0,.
3,2,3,EC,con,189,2009,.,1,.,.,.,.,43.0259,43.0259,.
4,2,3,EC,dry,189,2009,.,1,.,.,.,.,40.533,40.533,.
7,1,5,EC,con,189,2009,.,1,.,.,.,.,43.0078,43.0078,.
8,1,5,EC,dry,189,2009,.,1,.,.,.,.,40.852,40.852,.
13,3,14,EC,con,189,2009,.,1,.,.,.,.,40.8066,40.8066,.
14,3,14,EC,dry,189,2009,.,1,.,.,.,.,39.9917,39.9917,.
15,4,15,EC,con,189,2009,.,1,.,.,.,.,40.6821,40.6821,.
16,4,15,EC,dry,189,2009,.,1,.,.,.,.,39.4225,39.4225,.
19,2,3,EC,con,197,2009,0.08313,1,427.584,0.08313,6.03633,3.00516,43.3235,43.3235,-1.08027
20,2,3,EC,dry,197,2009,0.09589,1,410.833,0.09589,6.0875,3.21966,38.3657,38.3657,-1.01825
23,1,5,EC,con,197,2009,0.10908,1,482.561,0.10908,6.20833,.,43.1784,43.1784,-0.96227
24,1,5,EC,dry,197,2009,0.11686,1,468.772,0.11686,6.11433,3.16579,39.6387,39.6387,-0.93234
29,3,14,EC,con,197,2009,0.07062,1,438.183,0.07062,6.274,2.883,40.9245,40.9245,-1.15108
30,3,14,EC,dry,197,2009,0.09714,1,422.246,0.09714,5.85567,3.14419,39.9433,39.9433,-1.01259
31,4,15,EC,con,197,2009,0.07499,1,480.941,0.07499,5.96167,3.04352,40.8674,40.8674,-1.12497
32,4,15,EC,dry,197,2009,0.11403,1,418.019,0.11403,6.28967,3.35118,39.9187,39.9187,-0.94296
35,2,3,EC,con,203,2009,.,1,.,.,.,.,40.6059,40.6059,.
36,2,3,EC,dry,203,2009,.,1,.,.,.,.,37.0505,37.0505,.
39,1,5,EC,con,203,2009,.,1,.,.,.,.,39.7151,39.7151,.
40,1,5,EC,dry,203,2009,.,1,.,.,.,.,36.916,36.916,.
45,3,14,EC,con,203,2009,.,1,.,.,.,.,38.8567,38.8567,.
46,3,14,EC,dry,203,2009,.,1,.,.,.,.,37.9982,37.9982,.
47,4,15,EC,con,203,2009,.,1,.,.,.,.,38.4497,38.4497,.
48,4,15,EC,dry,203,2009,.,1,.,.,.,.,37.5203,37.5203,.
51,2,3,EC,con,210,2009,0.07322,1,457.468,0.07322,5.8905,3.11218,41.7458,41.7458,-1.13539
52,2,3,EC,dry,210,2009,0.09192,1,438.373,0.09192,5.872,3.29547,33.9845,33.9845,-1.0366
55,1,5,EC,con,210,2009,0.0742,1,446.261,0.0742,5.899,3.18661,41.2373,41.2373,-1.12957
56,1,5,EC,dry,210,2009,0.05805,1,383.444,0.05805,5.75567,3.19989,34.1226,34.1226,-1.23622
61,3,14,EC,con,210,2009,0.15061,1,421.553,0.15061,6.03375,3.18107,39.8483,39.8483,-0.82215
62,3,14,EC,dry,210,2009,0.10485,1,422.179,0.10485,6.048,3.41464,36.7744,36.7744,-0.97941
63,4,15,EC,con,210,2009,0.09898,1,461.359,0.09898,5.949,3.10821,39.9779,39.9779,-1.00444
64,4,15,EC,dry,210,2009,.,1,362.875,.,6.21675,3.42012,37.8874,37.8874,.
67,2,3,EC,con,224,2009,0.07195,1,407.4,0.07195,5.838,3.25838,40.1807,40.1807,-1.14294
68,2,3,EC,dry,224,2009,0.08749,1,422.675,0.08749,5.947,3.22711,33.9957,33.9957,-1.05803
71,1,5,EC,con,224,2009,0.11796,1,428.693,0.11796,5.87667,3.28063,39.0966,39.0966,-0.92825
72,1,5,EC,dry,224,2009,0.11101,1,342.576,0.11101,5.818,3.38291,33.1522,33.1522,-0.95464
77,3,14,EC,con,224,2009,0.09135,1,439.77,0.09135,6.13767,3.26731,36.92,36.92,-1.03929
78,3,14,EC,dry,224,2009,0.10824,1,452.008,0.10824,6.02733,3.13237,33.057,33.057,-0.96562
79,4,15,EC,con,224,2009,0.09296,1,434.182,0.09296,6.21167,3.26497,39.8151,39.8151,-1.0317
80,4,15,EC,dry,224,2009,0.0955,1,260.144,0.0955,5.874,3.43312,34.5985,34.5985,-1.02
83,2,3,EC,con,238,2009,0.12854,1,390.02,0.12854,6.264,3.14838,42.096,42.096,-0.89097
84,2,3,EC,dry,238,2009,0.12629,1,316.7,0.12629,6.27933,3.03016,35.7471,35.7471,-0.89864
87,1,5,EC,con,238,2009,0.06234,1,411.065,0.06234,5.87867,3.04357,42.383,42.383,-1.20527
88,1,5,EC,dry,238,2009,0.08862,1,431.174,0.08862,6.1545,3.18052,31.4638,31.4638,-1.05245
93,3,14,EC,con,238,2009,0.08278,1,387.45,0.08278,6.33033,3.20855,39.537,39.537,-1.08207
94,3,14,EC,dry,238,2009,0.20474,1,385.132,0.20474,6.144,3.12913,33.2293,33.2293,-0.68879
95,4,15,EC,con,238,2009,0.09654,1,335.709,0.09654,5.95633,3.30297,40.2092,40.2092,-1.01527
96,4,15,EC,dry,238,2009,0.10561,1,397.316,0.10561,5.658,3.36085,34.9752,34.9752,-0.9763
99,2,3,EC,con,252,2009,0.04478,1,455.418,0.04478,5.834,2.99937,42.1091,42.1091,-1.34889
100,2,3,EC,dry,252,2009,0.02863,1,454.541,0.02863,5.9435,3.18938,34.0142,34.0142,-1.54313
103,1,5,EC,con,252,2009,0.03996,1,460.858,0.03996,5.663,3.00473,40.2353,40.2353,-1.39841
104,1,5,EC,dry,252,2009,0.13583,1,444.722,0.13583,5.556,2.98691,29.2669,29.2669,-0.86702
109,3,14,EC,con,252,2009,0.02434,1,450.854,0.02434,5.80267,3.06324,36.193,36.193,-1.61376
110,3,14,EC,dry,252,2009,.,1,464.813,.,6.158,3.14427,27.1653,27.1653,.
111,4,15,EC,con,252,2009,0.03909,1,464.771,0.03909,5.833,3.11985,38.6596,38.6596,-1.40797
112,4,15,EC,dry,252,2009,.,1,383.179,.,6.2355,3.30052,34.1716,34.1716,.
115,2,20,EC,con,181,2010,.,1,.,.,.,.,39.5361,39.5361,.
116,2,20,EC,dry,181,2010,.,1,.,.,.,.,39.8901,39.8901,.
117,1,21,EC,con,181,2010,.,1,.,.,.,.,39.7103,39.7103,.
118,1,21,EC,dry,181,2010,.,1,.,.,.,.,39.2131,39.2131,.
123,4,28,EC,con,181,2010,.,1,.,.,.,.,39.3012,39.3012,.
124,4,28,EC,dry,181,2010,.,1,.,.,.,.,38.6632,38.6632,.
125,3,29,EC,con,181,2010,.,1,.,.,.,.,41.3858,41.3858,.
126,3,29,EC,dry,181,2010,.,1,.,.,.,.,39.5316,39.5316,.
131,2,20,EC,con,197,2010,0.04866,1,420.907,0.04866,5.76367,3.34897,32.2571,32.2571,-1.31287
132,2,20,EC,dry,197,2010,0.05933,1,392.42,0.05933,5.75367,3.47653,29.525,29.525,-1.2267
133,1,21,EC,con,197,2010,0.04399,1,460.774,0.04399,5.91133,3.39689,32.6373,32.6373,-1.3566
134,1,21,EC,dry,197,2010,0.06972,1,442.808,0.06972,5.85767,3.50292,30.227,30.227,-1.15662
139,4,28,EC,con,197,2010,0.16558,1,432.343,0.16558,5.97767,3.33414,34.8259,34.8259,-0.78098
140,4,28,EC,dry,197,2010,.,1,392.138,.,5.993,3.51343,31.2285,31.2285,.
141,3,29,EC,con,197,2010,0.11229,1,363.252,0.11229,5.97533,3.36386,35.8724,35.8724,-0.94964
142,3,29,EC,dry,197,2010,.,1,413.278,.,6.241,3.50902,31.5926,31.5926,.
147,2,20,EC,con,208,2010,0.08206,1,490.965,0.08206,5.794,3.39363,36.9577,36.9577,-1.08589
148,2,20,EC,dry,208,2010,0.20095,1,465.929,0.20095,5.782,3.60755,27.2303,27.2303,-0.6969
149,1,21,EC,con,208,2010,0.0749,1,463.261,0.0749,5.902,3.19456,33.4843,33.4843,-1.12551
150,1,21,EC,dry,208,2010,.,1,481.489,.,5.972,3.41306,27.3338,27.3338,.
155,4,28,EC,con,208,2010,0.10418,1,484.067,0.10418,5.971,3.27163,39.3721,39.3721,-0.98223
156,4,28,EC,dry,208,2010,0.21014,1,496.813,0.21014,5.9995,3.35523,28.9132,28.9132,-0.67749
157,3,29,EC,con,208,2010,0.11131,1,479.895,0.11131,5.628,3.23363,40.134,40.134,-0.95348
158,3,29,EC,dry,208,2010,.,1,326.218,.,6.09167,3.48913,30.2452,30.2452,.
163,2,20,EC,con,224,2010,0.19719,1,442.974,0.19719,5.87,3.27673,26.4377,26.4377,-0.70511
164,2,20,EC,dry,224,2010,0.22418,1,431.956,0.22418,5.87767,3.36531,26.4821,26.4821,-0.64941
165,1,21,EC,con,224,2010,.,1,453.888,.,.,3.40173,26.0562,26.0562,.
166,1,21,EC,dry,224,2010,.,1,333.105,.,.,3.51428,26.5994,26.5994,.
171,4,28,EC,con,224,2010,0.22904,1,444.97,0.22904,6.05733,3.34863,27.8538,27.8538,-0.64008
172,4,28,EC,dry,224,2010,.,1,427.091,.,5.812,3.44299,26.7707,26.7707,.
173,3,29,EC,con,224,2010,.,1,420.406,.,.,3.38356,32.6284,32.6284,.
174,3,29,EC,dry,224,2010,.,1,334.158,.,.,3.53095,29.092,29.092,.
179,2,20,EC,con,237,2010,0.10443,1,354.779,0.10443,5.88767,3.44724,28.2342,28.2342,-0.98118
180,2,20,EC,dry,237,2010,0.10607,1,319.466,0.10607,5.722,3.55693,26.9422,26.9422,-0.9744
181,1,21,EC,con,237,2010,0.11409,1,335.051,0.11409,5.84967,3.53235,27.6218,27.6218,-0.94277
182,1,21,EC,dry,237,2010,0.11008,1,262.805,0.11008,6.00433,3.54747,26.363,26.363,-0.95831
187,4,28,EC,con,237,2010,0.15207,1,277.072,0.15207,6.093,3.36838,28.7935,28.7935,-0.81795
188,4,28,EC,dry,237,2010,0.17659,1,309.431,0.17659,5.90033,3.45509,27.0348,27.0348,-0.75303
189,3,29,EC,con,237,2010,0.19872,1,332.6,0.19872,5.70633,3.36429,34.0713,34.0713,-0.70175
190,3,29,EC,dry,237,2010,0.24749,1,291.993,0.24749,5.891,3.45557,28.1602,28.1602,-0.60645
195,2,20,EC,con,253,2010,.,1,.,.,.,.,32.3495,32.3495,.
196,2,20,EC,dry,253,2010,.,1,.,.,.,.,26.154,26.154,.
197,1,21,EC,con,253,2010,.,1,.,.,.,.,29.7159,29.7159,.
198,1,21,EC,dry,253,2010,.,1,.,.,.,.,25.587,25.587,.
203,4,28,EC,con,253,2010,.,1,.,.,.,.,32.1466,32.1466,.
204,4,28,EC,dry,253,2010,.,1,.,.,.,.,26.1109,26.1109,.
205,3,29,EC,con,253,2010,.,1,.,.,.,.,36.6565,36.6565,.
206,3,29,EC,dry,253,2010,.,1,.,.,.,.,27.1595,27.1595,.
210,2,3,EC,con,186,2011,.,1,.,.,.,.,.,.,.
212,1,5,EC,con,186,2011,.,1,.,.,.,.,.,.,.
215,3,14,EC,con,186,2011,.,1,.,.,.,.,.,.,.
216,4,15,EC,con,186,2011,.,1,.,.,.,.,.,.,.
219,2,3,EC,con,200,2011,0.15575,1,.,0.15575,5.76067,3.59751,32.0649,32.0649,-0.80757
220,2,3,EC,dry,200,2011,0.19725,1,.,0.19725,5.64267,3.19467,32.0605,32.0605,-0.70498
223,1,5,EC,con,200,2011,0.13088,1,445.846,0.13088,5.36633,3.40369,32.7224,32.7224,-0.88314
224,1,5,EC,dry,200,2011,0.13758,1,447.09,0.13758,5.736,3.59385,34.4723,34.4723,-0.86144
229,3,14,EC,con,200,2011,0.20309,1,404.118,0.20309,5.623,3.39059,32.6048,32.6048,-0.6923
230,3,14,EC,dry,200,2011,0.16336,1,421.68,0.16336,5.65767,3.70069,31.9369,31.9369,-0.78687
231,4,15,EC,con,200,2011,0.17729,1,415.091,0.17729,5.59533,3.4857,31.5802,31.5802,-0.75131
232,4,15,EC,dry,200,2011,0.11418,1,413.456,0.11418,5.79167,3.22882,36.3381,36.3381,-0.94242
235,2,3,EC,con,214,2011,0.33209,1,.,0.33209,6.11967,3.44937,24.7539,24.7539,-0.47874
236,2,3,EC,dry,214,2011,0.35276,1,.,0.35276,6.2405,3.42262,24.5432,24.5432,-0.45253
239,1,5,EC,con,214,2011,0.25453,1,.,0.25453,6.043,3.44817,25.636,25.636,-0.59426
240,1,5,EC,dry,214,2011,0.29034,1,.,0.29034,6.345,3.64176,28.1157,28.1157,-0.53709
245,3,14,EC,con,214,2011,0.25096,1,336.637,0.25096,6.183,3.40873,28.4511,28.4511,-0.60039
246,3,14,EC,dry,214,2011,0.3145,1,287.501,0.3145,6.0695,3.65667,26.1511,26.1511,-0.50238
247,4,15,EC,con,214,2011,.,1,293.89,.,6.061,3.435,26.584,26.584,.
248,4,15,EC,dry,214,2011,0.19489,1,329.078,0.19489,6.03533,3.63246,29.5945,29.5945,-0.7102
251,2,3,EC,con,228,2011,.,1,428.412,.,5.99767,3.33044,24.9137,24.9137,.
252,2,3,EC,dry,228,2011,0.13387,1,411.189,0.13387,5.943,3.58669,24.2898,24.2898,-0.87332
255,1,5,EC,con,228,2011,0.11249,1,295.852,0.11249,5.93867,3.17405,24.5704,24.5704,-0.9489
256,1,5,EC,dry,228,2011,0.18965,1,312.398,0.18965,5.89933,3.68841,26.8134,26.8134,-0.72205
261,3,14,EC,con,228,2011,0.17146,1,333.641,0.17146,5.872,3.41123,28.4766,28.4766,-0.76585
262,3,14,EC,dry,228,2011,0.21801,1,312.512,0.21801,5.90767,3.62947,26.1503,26.1503,-0.66153
263,4,15,EC,con,228,2011,0.22259,1,281.243,0.22259,5.911,3.65227,26.7394,26.7394,-0.65249
264,4,15,EC,dry,228,2011,0.18879,1,271.367,0.18879,5.85067,3.3875,28.6246,28.6246,-0.72403
267,2,3,EC,con,242,2011,0.16883,1,296.823,0.16883,5.943,3.75925,29.9542,29.9542,-0.77255
268,2,3,EC,dry,242,2011,0.30699,1,214.188,0.30699,5.6585,3.23006,24.3556,24.3556,-0.51288
271,1,5,EC,con,242,2011,0.25415,1,253.736,0.25415,5.802,3.65965,26.313,26.313,-0.59491
